"gene","removal_reason"
"Vigun02g116000","no readcount"
"Vigun02g117100","no readcount"
"Vigun02g120100","no readcount"
"Vigun02g122900","no readcount"
"Vigun02g125800","no readcount"
"Vigun02g141100","no readcount"
"Vigun02g145700","no readcount"
"Vigun02g151600","no readcount"
"Vigun02g152100","no readcount"
"Vigun02g154500","no readcount"
"Vigun02g158500","no readcount"
"Vigun02g160400","no readcount"
"Vigun02g160500","no readcount"
"Vigun02g162300","no readcount"
"Vigun02g164100","no readcount"
"Vigun02g164400","no readcount"
"Vigun02g164900","no readcount"
"Vigun02g166800","no readcount"
"Vigun02g167500","no readcount"
"Vigun02g170500","no readcount"
"Vigun02g171300","no readcount"
"Vigun02g172700","no readcount"
"Vigun02g173600","no readcount"
"Vigun02g174500","no readcount"
"Vigun02g176200","no readcount"
"Vigun02g176300","no readcount"
"Vigun02g177100","no readcount"
"Vigun02g178600","no readcount"
"Vigun02g178900","no readcount"
"Vigun02g179800","no readcount"
"Vigun02g181800","no readcount"
"Vigun02g183900","no readcount"
"Vigun02g185000","no readcount"
"Vigun02g186400","no readcount"
"Vigun02g188300","no readcount"
"Vigun02g189700","no readcount"
"Vigun02g189800","no readcount"
"Vigun02g190400","no readcount"
"Vigun02g191400","no readcount"
"Vigun02g195400","no readcount"
"Vigun02g198800","no readcount"
"Vigun02g199600","no readcount"
"Vigun02g201600","no readcount"
"Vigun02g203600","no readcount"
"Vigun02g204700","no readcount"
"Vigun03g000700","no readcount"
"Vigun03g000900","no readcount"
"Vigun03g002200","no readcount"
"Vigun03g003900","no readcount"
"Vigun03g004900","no readcount"
"Vigun03g019600","no readcount"
"Vigun03g019800","no readcount"
"Vigun03g020500","no readcount"
"Vigun03g022400","no readcount"
"Vigun03g024000","no readcount"
"Vigun03g024200","no readcount"
"Vigun03g025100","no readcount"
"Vigun03g025300","no readcount"
"Vigun03g026100","no readcount"
"Vigun03g027700","no readcount"
"Vigun03g036200","no readcount"
"Vigun03g038600","no readcount"
