"gene","removal_reason"
"Bcin14g01780","no readcount"
"Bcin14g01850","no readcount"
"Bcin14g01870","no readcount"
"Bcin14g02120","no readcount"
"Bcin14g02320","no readcount"
"Bcin14g02340","no readcount"
"Bcin14g02590","no readcount"
"Bcin14g02660","no readcount"
"Bcin14g02690","no readcount"
"Bcin14g03080","no readcount"
"Bcin14g03230","no readcount"
"Bcin14g03560","no readcount"
"Bcin14g03600","no readcount"
"Bcin14g04840","no readcount"
"Bcin14g05450","no readcount"
"Bcin15g00120","no readcount"
"Bcin15g00150","no readcount"
"Bcin15g00200","no readcount"
"Bcin15g00800","no readcount"
"Bcin15g01020","no readcount"
"Bcin15g01450","no readcount"
"Bcin15g01700","no readcount"
"Bcin15g02090","no readcount"
"Bcin15g02540","no readcount"
"Bcin15g02590","no readcount"
"Bcin15g03690","no readcount"
"Bcin15g03810","no readcount"
"Bcin15g04820","no readcount"
"Bcin15g05000","no readcount"
"Bcin15g05040","no readcount"
"Bcin15g05080","no readcount"
"Bcin15g05100","no readcount"
"Bcin15g05130","no readcount"
"Bcin15g05180","no readcount"
"Bcin15g05250","no readcount"
"Bcin16g00150","no readcount"
"Bcin16g00170","no readcount"
"Bcin16g00280","no readcount"
"Bcin16g00300","no readcount"
"Bcin16g00320","no readcount"
"Bcin16g00640","no readcount"
"Bcin16g00730","no readcount"
"Bcin16g01010","no readcount"
"Bcin16g01330","no readcount"
"Bcin16g01430","no readcount"
"Bcin16g01780","no readcount"
"Bcin16g01870","no readcount"
"Bcin16g01880","no readcount"
"Bcin16g02140","no readcount"
"Bcin16g02180","no readcount"
"Bcin16g02560","no readcount"
"Bcin16g02670","no readcount"
"Bcin16g02970","no readcount"
"Bcin16g03030","no readcount"
"Bcin16g03080","no readcount"
"Bcin16g03110","no readcount"
"Bcin16g03240","no readcount"
"Bcin16g03400","no readcount"
"Bcin16g03560","no readcount"
"Bcin16g03900","no readcount"
"Bcin16g03920","no readcount"
"Bcin16g04000","no readcount"
"Bcin16g04060","no readcount"
"Bcin16g04610","no readcount"
"Bcin16g04740","no readcount"
"Bcin16g04800","no readcount"
"Bcin16g04940","no readcount"
"Bcin16g05070","no readcount"
"Bcin16g05090","no readcount"
"Bcin01g00280","low readcount"
"Bcin01g00460","low readcount"
"Bcin01g00810","low readcount"
"Bcin01g00980","low readcount"
"Bcin01g01160","low readcount"
"Bcin01g01210","low readcount"
"Bcin01g01340","low readcount"
"Bcin01g01480","low readcount"
"Bcin01g01530","low readcount"
"Bcin01g01610","low readcount"
"Bcin01g01730","low readcount"
"Bcin01g02000","low readcount"
"Bcin01g02050","low readcount"
"Bcin01g02090","low readcount"
"Bcin01g02210","low readcount"
"Bcin01g02565","low readcount"
"Bcin01g02590","low readcount"
"Bcin01g02730","low readcount"
"Bcin01g02780","low readcount"
"Bcin01g03080","low readcount"
"Bcin01g03100","low readcount"
"Bcin01g03140","low readcount"
"Bcin01g03260","low readcount"
"Bcin01g03390","low readcount"
"Bcin01g03820","low readcount"
"Bcin01g03860","low readcount"
"Bcin01g03900","low readcount"
"Bcin01g04050","low readcount"
"Bcin01g04180","low readcount"
"Bcin01g04290","low readcount"
"Bcin01g04300","low readcount"
"Bcin01g04320","low readcount"
"Bcin01g04440","low readcount"
"Bcin01g04470","low readcount"
"Bcin01g04560","low readcount"
